GENE_SYMBOL	n
ACVRL1	5656
ADAM22	5424
AMBP	7108
CADM3	7678
CCL16	4612
CCN3	7200
CD160	1552
CD27	6884
CD300C	7100
CD300LF	6892
CD300LG	5272
CD55	5486
COL1A1	5754
COLEC12	8382
CSF1	5418
CST6	4302
CXCL16	7286
DKK4	4692
DLK1	6398
DLL1	6634
DSC2	6658
EDA2R	3944
EFNA4	3772
EPHA2	6772
EPHB6	5548
ESAM	6808
FABP4	5990
FCER2	8762
FLRT2	8072
FOLR1	6504
FSTL3	10490
GDF15	6370
GPC1	9190
HAVCR1	6758
HAVCR2	6984
IFNGR1	6720
IL15RA	8720
IL17F	7234
IL18R1	6516
IL1R1	7228
IL2RA	8678
JAM2	6848
KLK11	8294
LAIR1	9798
LAIR2	10562
LAYN	4888
LTBR	7170
MSLN	9594
MSMB	2468
NECTIN4	6040
PGF	4544
PILRA	3896
PLCG1	5736
RELT	4392
RGMB	6422
SIRPA	8082
SIRPB1	7454
SMOC2	13198
SPINK1	6970
TFF21	1
TFF3	9290
TGFBR2	8274
THBD	6660
THY1	5934
TNFRSF10A	8102
TNFRSF10B	7514
TNFRSF11A	6950
TNFRSF12A	6490
TNFRSF13B	6464
TNFRSF14	6168
TNFRSF19	10710
TNFRSF1A	7220
TNFRSF1B	6294
TNFRSF21	7078
TNFRSF4	6526
TNFSF15	7400
ULBP2	7548
VEGFA	5998
VSIG4	3666
WFDC2	7346
XG	9886
